Transaction ID,Date,Day of Week,Time,Type of Card,Entry Mode,Amount,Type of Transaction,Merchant Group,Country of Transaction,Shipping Address,Country of Residence,Gender,Age,Bank,Fraud
#3577 209,14-Oct-20,Wednesday,19,Visa,Tap,£5,POS,Entertainment,United Kingdom,United Kingdom,United Kingdom,M,25.2,RBS,0
#3039 221,14-Oct-20,Wednesday,17,MasterCard,PIN,£288,POS,Services,USA,USA,USA,F,49.6,Lloyds,0
#2694 780,14-Oct-20,Wednesday,14,Visa,Tap,£5,POS,Restaurant,India,India,India,F,42.2,Barclays,0
#2640 960,13-Oct-20,Tuesday,14,Visa,Tap,£28,POS,Entertainment,United Kingdom,India,United Kingdom,F,51,Barclays,0
#2771 031,13-Oct-20,Tuesday,23,Visa,CVC,£91,Online,Electronics,USA,USA,United Kingdom,M,38,Halifax,1
#3446 698,13-Oct-20,Tuesday,20,MasterCard,Tap,£30,POS,Children,India,India,India,M,48.4,Monzo,0
#3652 191,13-Oct-20,Tuesday,18,Visa,CVC,£231,Online,Children,United Kingdom,United Kingdom,United Kingdom,M,39.5,Barclays,0
#3161 927,13-Oct-20,Tuesday,18,MasterCard,CVC,£154,Online,Services,USA,USA,United Kingdom,M,37.8,HSBC,0
#3025 809,13-Oct-20,Tuesday,23,MasterCard,PIN,£39,ATM,Fashion,Russia,Russia,United Kingdom,F,43.3,Metro,0
#3413 696,14-Oct-20,Wednesday,23,MasterCard,Tap,£17,POS,Entertainment,India,India,India,M,69.9,Barlcays,0
#2667 502,13-Oct-20,Tuesday,11,Visa,PIN,£326,ATM,Children,United Kingdom,United Kingdom,United Kingdom,F,54.8,Metro,0
#3474 192,14-Oct-20,Wednesday,1,MasterCard,PIN,£106,POS,Fashion,Russia,Russia,United Kingdom,F,48.7,Metro,1
#3328 082,13-Oct-20,Tuesday,21,MasterCard,PIN,£21,ATM,Restaurant,United Kingdom,United Kingdom,United Kingdom,M,43.6,Barclays,0
#3409 035,13-Oct-20,Tuesday,20,MasterCard,PIN,£211,ATM,Food,United Kingdom,United Kingdom,United Kingdom,F,46.4,HSBC,0
#2605 734,13-Oct-20,Tuesday,11,Visa,Tap,£28,POS,Entertainment,United Kingdom,China,United Kingdom,F,50.6,Metro,0
#3261 845,14-Oct-20,Wednesday,17,MasterCard,PIN,£98,ATM,Products,United Kingdom,United Kingdom,United Kingdom,F,37.2,Monzo,0
#3513 029,13-Oct-20,Tuesday,0,MasterCard,CVC,£25,Online,Food,Russia,Russia,United Kingdom,M,54.3,Barlcays,1
#3173 400,14-Oct-20,Wednesday,21,Visa,CVC,£242,Online,Services,United Kingdom,United Kingdom,United Kingdom,M,62,Barlcays,0
#2688 254,13-Oct-20,Tuesday,20,Visa,PIN,£22,ATM,Children,United Kingdom,United Kingdom,United Kingdom,M,28.5,Lloyds,0
#3521 688,14-Oct-20,Wednesday,23,MasterCard,Tap,£29,POS,Products,India,India,United Kingdom,F,55,Halifax,0
